Feedback,Overall Rating,Position,Location,Service Time,Pros,Cons,Date
"Thriving at Blackcoffer Fostering Success Through Teamwork, Innovation, and Excellence""",5.0,Associate Data Scientist,New Delhi,"Current Employee, less than 1 year","""Proud to work at Blackcoffer, where teamwork, innovation, and a commitment to excellence drive our success every day.""","My experience at Blackcoffer has been overwhelmingly positive.""",27 Dec 2023
All other glassdoor reviews are fake,1.0,Associate Data Scientist,New Delhi,New Delhi,Remote opportunity and easy interview,"No guidance for freshers
Whole company is run by relatives and they don't have any knowledge",29 Jan 2024
Great Company for Interns,4.0,Associate Data Scientist,"Jaipur, Rajasthan","Former Employee, less than 1 year","- Great mentorship.
- New technologies to learn.
- Decent work deligation.
- Flexible timing.",- More concerned with time spent than results.,9 Jan 2024
Just started working here,4.0,Data Science Intern,New Delhi,New Delhi,"Just started working here, doing this review to see the CTC",I want to see the CTC,8 Jan 2024
Exceptional Work Environment and Growth Opportunities,5.0,Associate Software Engineer,Calcutta,"Former Employee, less than 1 year","I have been working at BlackCoffer for over a 3 months, and I can confidently say that it has been an incredible experience. The company provides an exceptional work environment that fosters growth, learning, and collaboration. The management team at BlackCoffer truly cares about the well-being and professional development of their employees. They consistently encourage and support us to expand our skill set and take on challenging projects. The open-door policy creates a culture of transparency, where ideas and suggestions are valued and implemented. One aspect that sets BlackCoffer apart is the strong emphasis on work-life balance. The company understands the importance of maintaining a healthy personal life while delivering exceptional work. The flexible work hours and remote work options provide the necessary flexibility to achieve this balance. The company also offers numerous opportunities for career advancement. Regular training sessions, workshops, and mentorship programs are provided to help employees enhance their skills and reach their full potential. The recognition and rewards system in place further motivate and appreciate the hard work put in by the employees. Moreover, the team at BlackCoffer is composed of talented individuals who are passionate about what they do. The collaborative and supportive atmosphere allows for seamless teamwork, making every project a success. In summary, working at BlackCoffer has been a truly rewarding experience. The company's commitment to employee growth, work-life balance, and a positive work environment make it an exceptional place to work. I highly recommend BlackCoffer to anyone looking for a company that values its employees and provides ample opportunities for professional development.","I wholeheartedly recommend joining BlackCoffer without any reservations. From my personal experience, I can confidently say that there are no downsides to working for this exceptional company.",11 May 2023
Challenges at Blackcoffer: My Honest Experience,2.0,Data Scientist Associate,New Delhi,"Jaipur, Rajasthan",Work from home is available,"Frequent imposition of unrealistic deadlines led to rushed work and increased stress
Management's response to challenges often lacked of support, insufficient resolution
Struggling with demanding deadlines made achieving a healthy work-life balance difficult.
The expectation to learn everything independently and perform tasks without sufficient guidance was a significant challenge.
The limited number of holidays provided little respite, impacting overall work-life balance.
The absence of clear paths for career growth and development was discouraging.",3 Dec 2023
Best startup for your career to learn and grow,5.0,Devops Engineer,New Delhi,"Current Employee, less than 1 year","1. Great team, everyone is so nice and helps when you get stuck.
2. Lots of opportunities to try out new things.
3. Flexible timing and can work remotely.",I don't think there are any cons.,21 Dec 2023
Learning is limitless,5.0,Associate Data Scientist,Pune,New Delhi,If you want to learn and be the best. It is the best place,no cons as of now,22 Dec 2023
Good learning opportunity,5.0,Associate Software Engineer,Pilani,Current Employee,"Work from home, flexible work time",you have to be able to handle client yourself and complete projects yourself alone,22 Dec 2023
Worst company to work.,1.0,Software Developer Associate,New Delhi,"Former Employee, less than 1 year","Nothing to like in this company.
Worst company to work.","Department

Designation

Location

Rating
Blackcoffer Reviewsbased on 18 reviews
Updated 29 Oct, 2023
Overall Rating

 2.0
see rating trend

5

7


4

1


3

1


2

1


1

8

Category Ratings

2.9

Skill Development

2.0

Work-Life Balance

2.0

Job Security

1.9

Company Culture

1.9

Work Satisfaction

1.8

Promotions / Appraisal

1.8

Salary & Benefits

18 reviews found
Sort by: Popular 
Data Science Associate (working remotely)
Full Time

 · 
Data Science & Machine Learning Department
 1.0 
posted on 14 Oct 2023
Likes
Nothing at all

Dislikes
So I joined this company as a Datascience associate from internshala (I completed their assignment). Now they did give me training for 1 week but it was very irrelevant to the project and it was all self learni...Read More

Work Details
Work days: Monday to Saturday (Flexible Timings)


Upvote


Comment

Share
Aditya
Add a comment...
Dreaming of a Better IT Job?
Explore Openings on Naukri.

Register Now

Powered by Naukri


Associate Software Engineer (working remotely)
Full Time

 · 
Software Development Department
 1.0 
posted on 19 Sep 2023
Likes
You will get complete freedom how to work. You will get what will be final product journey of product depends upon you. You can fallow best practice or worst prectice it's depends on you. Overall only and only...Read More

Dislikes
Every thing other then I like, is dislikes. If you have good luck then you may me in such project in which team lead good knowledge of technology and intrested in helping, it will be gratest blace of God. By th...Read More

Work Details
Work days: Monday to Saturday (Strict Timings)


Upvote


Comment

Share
Aditya
Add a comment...
Data Scientist Associate (working remotely)
Intern

 · 
IT Consulting Department
 1.0 
posted on 11 Jul 2023
Likes
nothing

Dislikes
They will make you feel like hell. they hire intern and expect them to very knowledgeable person like phd graduate. They will keep on giving work pressure until you get chocked.
They will fire you without givi...Read More

Work Details
Work days: Monday to Saturday (Flexible Timings)


5 Upvote


Comment

Share
Aditya
Add a comment...
Recently Viewed

page logo
LIST OF COMPANIES

Blackcoffer
Overview

page logo
DESIGNATION

Mern Stack Developer
1.5k salaries

page logo
INTERVIEWS

Blackcoffer
2 interviews

page logo
SALARIES

Blackcoffer
106 salaries

page logo
INTERVIEWS

Multiverse Solutions
Associate Software Developer (working remotely)
Intern

 · 
Software Development Department
 1.0 
posted on 29 Oct 2023
Likes
Nothing to like in this company.
Worst company to work.

Dislikes
Applied through internshala, received a message on internshala to submit a assignment.
After submitting the assignment if you are lucky then after 2-3 months you will get a reply. Then there is a guy who claims himself as cto of the company without any technical knowledge who will take your interview just for name sake in Skype.
After interview, you will receive a offer letter ASAP, then they will create a pressure to accept the offer letter within one day and the moment you will reply to their offer letter, they will call you in Skype and ask you to work from that moment only even if your joining date is after few days. (suppose your joining date is after two - three days they will not consider this thing they will ask you to work from the moment you accept the offer letter). In offer letter it will be written that you will get training and all and you will receive 10000 rs per month till next 6 months.
That's the story till joining.
Now after joining.
Once you join, they will not give you training. They will directly give you a big project to work on and expect to complete the tasks that they will give you without any help or any guidance. (if you complain about this then they will tell you that this is how we give training).
Then after 1-2 weeks, they will change your project and give you a client project to work on, where there is no management, you will have to handle the client and talk to the client directly no support from anyone.
Now when you work on client project the client will have a deadline and you will have to complete the tasks within the deadline or if any chance you fail to do so, the cto, founder or coo will scold you.
* the company uses Skype as professional communication tool rather than Microsoft teams.
* the company will make you work from morning 10 am to night 9 pm (almost).
* No holidays on Saturdays.
* No job security because one of my friend lost the job without any reason when his 6 months was going to complete.
* they make fools to their client even the founder, cto or coo don't knows how to talk properly to their clients.
* only 2 developers will work on a project.
* sick minded people in the company because the company is being run by a group of family members there are 3 main members else are hr and all. (means everyone who is in a good designation in the company are the family members of the founder).
* No work life balance always felt pressurized.
* they will make you work like a full time employee of software developer, but pay you 10k in name of training period of 6 months.
I would really like to meet all the 3 people of the company.
**** This company is a total scam, do not join. ****
**** Most of the positive reviews are given by the employees are because the coo/cto told them to do so ****
****MOST OF THE POSITIVE REVIEWS ARE FAKE****",20 Nov 2023
